id,line_position
119633,001
42756,1.0
113694,4.0
39005,1.0
113696,20
56986,13
52039,Pos 1.0
49645,5.0
48150,1.0
51496,200.0
62488,1.0
60035,Pos. 1.0
115010,30.0
61959,7.0
71961,10.1
34407,Pos.7.0
34408,Pos.8.0
34752,Pos.1.0
54413,1.0
43824,15.0
47887,0.2t
115011,30.1
47909,4.0
49267,5.0
48480,1.0
47161,1
66095,Pos. 1.0
76850,270
71295,4.0
77885,Pos. 3.0
38963,1.0
57618,2.0 + 3.0
63251,5.0
68943,Pos. 2.0
47163,2
43685,Pos 50.0
62868,7.1
65828,1.0
58874,8.2
78537,2
74716,5.1
74326,20.0
71753,51
71715,2.0
39257,6.0
37740,1.0
69037,1.1
69621,4.0
47428,1.0
45055,8.0
38241,1.0
35124,2.0
71538,1.0
66649,22.0
47878,0.4a
42586,3
41520,4.0
117327,2.0
55127,6.0
59342,2.0
65915,Pos 2.0
43812,9.0
78824,Pos. 1
117326,1.0
48889,Pos.2.0
48305,1.0
51153,1.0
58875,9.0
56057,2.1
69617,2.0 + 3.0
52360,6.0
76510,17.03
74806,Pos. 3.0 + 10.0
40283,2.2.1
40163,6.0
47324,5.0
65389,3
48769,1.0
41163,3.0
72986,3.0
52355,1.0
65161,40
69655,2.0
60727,1.0
71744,42
78705,5.0
40150,3.0
48119,1.0
69350,7.0
63249,2.0
63233,1.0
52680,3.0
54188,10.0
54926,Pos 4.0
52424,Pos. 6.0
68783,Pos. 2.0
59866,12.5
56296,1
59863,13
52683,4.3
41422,Pos. 2.0
38953,020.1
66269,12.0
52687,6.2
56284,1
42972,1
46841,5.0
41915,Pos. 3.0
74311,3.0
74693,1.0
79969,Pos 2
70120,5.1
63255,11
68644,2.0
65486,1.0
61961,9.0
67170,Pos. 1.0
47250,1.3
58137,2.0
71725,30
69379,1.0
58558,1.2
43008,2.4
52772,1.0
69516,3.5 & 10.5
65911,Pos 1.0
66616,10.0
73984,Pos. 7.0
78355,Pos. 3
73342,Pos. 5.0
79100,1.0
49286,3.0
47322,3.0 & 7.0
56851,6.0
55287,1
58161,2
77536,3.0
77211,17.0
74315,7.0
76366,Pos. 9.0
75783,Pos. 3.0
77535,1.0
57632,2.0
54738,2
66404,3.0
69391,1.0
48484,11.0
42736,3.0
57382,8.0
51086,1.0
71680,20.0
33600,Pos.1.0
39302,4.0
39101,2.0
68714,1.0
54924,Pos 3.0
72654,Pos.1
71550,Pos. 3.0
73344,Pos. 7.0
72660,6.1
68209,140
66266,9.00
66648,21.0
45592,1.0
78088,1.0
78701,"2.0, 3.0 & 4.0"
56631,1
66643,2.0
76763,1.2
74002,5.0
76457,3
74324,15.0
42585,2
39147,2.0
77679,1.0
75710,2.0
52675,1.0
72873,2
57473,9.0
70067,1.0 - 1.1
74316,8.0
78133,4.0
70861,5.0
41644,1.0
69943,3.0
115012,30.2
71454,Pos. 1.0 + 1.5
40281,1.0
70413,Pos. 6.0
76851,280
52869,1
41913,Pos. 1.0
78895,3.0
65162,50
66096,Pos. 2.0
69951,12.0
66273,16.0
45594,2.0
75709,1.0
51628,3.0
42739,10.0
43684,Pos 40.0
66307,6.0
54925,Pos 3.5
59102,7.0
46014,110.0
49352,Pos 3.0
63250,2.1
32411,1.0
38964,2.0
79053,Pos. 3
77678,1.0
46586,1.0
47907,2.0
71743,42
68776,5.0
60883,6.0
57352,9.0
42749,9.9
44625,020.7
44303,1
56980,8b
33267,5.0
52040,Pos 5.0
46763,4.0
