id,line_position
77455,2.0
39434,3.0
82019,8.0
60069,1.3
60070,3.1
60071,1.1
60206,8.0
50009,2
50016,7.0
50062,1.0
50069,1.0
50070,4.0
40082,1.0
70077,100.0
70093,10.0
70106,Pos.1.0
70134,1.0
70135,3.0
70140,11.0
70141,1.1
70143,1.0
70144,2.0
70145,3.0
30216,4
30231,Pos.2.0a
30232,Pos.2.0b
30233,Pos.2.0c
40281,4.0 - alt
40282,5.0 - alt
40283,7.0 - alt
40307,30
40308,10 / 20
50137,7.5
60257,Pos. 1
60267,1.0
60289,2.0
60291,1.0
60362,21.0
60363,22.0
60364,20.0
70151,3.5
70164,1.0
70207,1.0
70208,3.0
70245,1.0
30256,6.0
30379,1.0
30394,1
50245,3
70252,17.0
70334,1.1 & 2.1
70335,5.1
60381,0.1
60411,Pos. 1.0
60412,Pos. 2.0
60413,Pos. 3.0
60414,23.0
60420,5.0
60421,6.0
60432,5
60434,4.0
60435,5.0
60439,Pos. 1.0
70405,Pos. 2
70406,Pos. 3
60498,13.2
60499,16.2
60531,4.0
60533,2.0
70426,10.0
70428,9.0
70431,1.0 + 2.0
70432,3.0
40423,1
40424,2
30433,1.0
60616,1.0
60629,3.1
60630,5.0
60653,20.2
60654,40
60655,90
60704,2.0
60710,4.0
60711,4.5
40425,3
40426,4
40427,5
40428,6
40429,7
40430,8
40431,9
40432,10
40436,Pos. 1.0
40437,Pos. 2.0
40438,Pos. 3.0
40439,Pos. 4.0
40440,Pos. 5.0
40441,Pos. 7.0
40451,1
40452,2
40465,10.0
40467,10.1
40469,4.0
40472,5.0
30499,Pos. 1.0
30593,1.0
30594,1.0
30595,2.0
50328,8.0
50333,3.0
50334,4.0
50335,2.0
50336,7.0
50337,Pos.7.0
50338,Pos 2.0
40493,2.1
40504,1 & 1.1
40505,1.0
40506,P1 - P8
40508,Pos.5.0
70515,1.0
70516,2.0 + 3.0
70517,2.1 + 3.1
70518,2.2 + 3.2
70529,3.0
70546,5.0
70547,6.0
70548,7.0
70549,8.0
70550,1.0
70551,2.0
70555,1.0 / 1.1
70566,2
40567,Pos.3.1
40599,3.0
40600,5.0
40601,9.0
40602,10.0
60712,5.0
60713,5.5
60714,6.0
60914,13.1
60915,16.1
60921,2
60946,1.0
50388,2.0 + 5.0
50389,3.0
50391,1.0
50405,9.0
50501,1.0
50502,2.0
30647,2.0
50538,3.2
50682,1
50701,1.0
50703,2.0
50705,3.0
50707,1.0
50709,1.0
40678,4.0
40729,2.0
70586,2.2
70590,1.0 / 1.1
70595,3.2
40798,4
40816,2.0
40817,3.0
40818,4.0
40819,5.0
40820,6.0
40821,1.0
40822,7.0
40823,8.0
40824,9.0
60983,1.0
61039,31.1
50710,2.0
50711,Pos 2.0
50713,2.0
50714,3.0
50759,1.0
61047,24.0
61052,1.1
61055,4.0
30705,1.0
30795,Pos.1.0
40863,8.0 - alt
70693,6.0
70695,4.0
70701,1.0
70707,Pos 1
70716,1.0
70719,4.0
70720,6.0
70721,7.0
70722,1.0
70724,2.2
50833,Pos 2.0
50836,3.0
50837,3.3
50838,4.0
50839,4.3
50840,5.0
50841,5.3
50842,6.2
50844,8.0
30822,2.0 / 3.0
30824,4.0
30968,2.0
30969,2.1
30970,1.0
31003,1.0
70726,1.0
70727,35.0
70728,36.0
70729,1.0
70730,1.0
70807,Pos. 3.0
70861,1.0+2.0
70881,4.0
70882,1.0
61155,9.1
61160,14
61163,1.0
61171,2.0
31007,1.0
31008,1.0
31009,2.0
31010,3.0
31011,4.0
31012,5.0
31013,6.0
31014,7.0
31015,8.0
31016,9.0
31043,Pos.2.0
31049,Pos.6.0
31052,Pos.4.0
31055,Pos.1.0
40926,1.0
40929,1.0
40930,2.0
40986,3.0
40995,15.0
50845,8.3
50846,9.0
50847,9.3
50848,10.0
50849,10.3
50850,1.2
50854,1.0
50856,2
50861,1.0
50898,1.0
50899,2.0
50900,5.0
50901,109
50902,6.0
70883,2.0
70884,3.0
70889,Pos. 5.5
70901,3.2
70963,65
70964,70.1
70978,65
71000,1.0
71005,1.3
71049,1.1
71050,1.5
71051,2.1
71052,20.0
71093,3.3
61182,1.2
31091,1.0
31092,2.0
41002,14.0
71113,10.1
71115,90
71196,30.0 - 30.12
50926,1.0 & 2.0
50931,3.0
31264,Pos.7.0
50947,2
61313,140
61316,5.1
41084,1.0
41228,2.0
61404,1.0
61406,1.0
61421,1.0
61423,A1
61431,1.0
61433,2.0
61434,2.1
61448,10.0
61699,1.0
61709,1.0
61710,2.0
61711,3.0
61717,1.0
61722,2.1
61737,2.0
61754,Pos 4.0
61812,24.0
61825,110
61826,130
61830,40
41453,2.2
41454,2.2
41455,1.0
41463,1.0
41464,1.0
41466,2.0
41469,3.0
41470,6.0
41471,4.0
41472,5.0
41473,1.0
41474,2.0
41515,1.0
41517,2
41349,3.2
41363,2.0
41364,4.0
41365,5.0
41366,6.0
41367,7.0
41417,40
41444,4.0
41445,4.1
71320,1.0 + 2.0
71338,12.0
71339,12.0
71351,69
71354,68.0
31285,2.0
31297,Pos. 3.0
51226,2
61873,200
61880,1.0
61881,2.0
61882,4.0
61954,Pos. 3.0
71424,Pos. 5
71465,1.0
71466,1.0
41555,1
41556,2
41557,3
41562,325.0
41566,Pos. 1.0
41567,Pos. 1.5
71556,2.0
71252,1.0
71253,2.0
71259,1.0
71262,1.0
71263,270
71264,160
71265,280
61964,1.0
61987,2-9
41626,2.1
51244,1.0
51327,6.0
31653,Pos.1.0
31654,1.0
62041,Pos. 4.0
62042,Pos. 5.0
62043,Pos. 6.0
62068,2.5
62073,2.0
62079,1.0
41647,13.0
41711,2.0
41715,1.0
41718,Pos.2.0
41754,7.0
51553,1.0
51585,1.0
51594,320
51600,Pos.1.0
51601,Pos.4.0
51625,Pos 1.0
71637,4.0
71747,1.2
51680,1.0
51681,2.0
51689,1.0
51695,2.0
51696,2.0
51699,1.0
51722,1
71778,4.0
71779,20_00
71824,Pos 1
41756,3.0
41758,3.0
41765,2.0
41768,5.0
41769,4.0
41770,1.0
41771,2.0
41772,3.0
41773,1.0
41774,2.0
41775,3.0
41776,4.0
62191,1
62253,2.0
62260,1.1
62280,13.1
62282,16.1
51805,4
51806,5
51812,9.0
51814,6.0
51815,2.0
51816,1
51817,2
51425,2.0
51426,5.0
51427,7.0
51428,8.0
51429,10.0
51430,Pos.3.0
51432,1.0
51435,3
51437,1
51439,Pos.1.0
51450,2
51469,5
51471,4.1
51479,2.0
41980,1
62334,3.5
71604,1
71610,1.1
71612,3.1
71614,1.1
71615,2.1
71616,1
71617,1.1
71618,2 a & b
71619,2.1 a & b
41999,1.0
51818,Pos.1.0
51822,1
51823,1
51824,2
51825,3
51826,4
51828,1
51829,1
51830,2
51831,3
51835,1.0 + 2.0
51837,Pos.1.0
62347,1.0
71862,2.1
71863,6.0
71867,1.0
31946,8.0
51858,10
51859,20
51860,30
51861,40
51862,50
51863,60
51864,70
51865,80
51874,13
51875,10+11+12
51876,14
51881,1.0
51912,1.0
51920,Pos. 1.0
51921,Pos. 2.0
51922,Pos. 3.0
51923,Pos. 4.0
71894,1
71895,1
71896,2
71898,17.03
72007,17.03
32054,2
32055,3
42065,1.0
42016,2
42055,2.0
42056,3.0
42057,4.0
42058,5.0
42059,6.0
42060,8.0
42061,9.0
42062,10.0
42063,11.0
42064,12.0
32225,2.0
51951,1.0
51952,2.0
51958,1.0
51959,3.0
51960,1.0
51967,1.0
51991,2.2
51992,7.2
42161,1.0
42179,2.0
42072,1.0
42112,11.0
42113,12.0
51996,3
52014,1.0
62366,3.0
62377,1.0
62385,1.0
62387,1.0 + 2.0
62389,230
62390,120
62397,1.0
62398,4.0
62399,7.0
62400,2.0
52109,7.5
52111,8.0
52142,1.1
52143,2.1
52235,7.0
62404,1.0
62405,2.0
62406,3.0
62407,4.0
62429,3.0
62443,1.1
62445,1.2
62450,1.0
62459,2.5
62461,7.3
62462,11.5
62467,Pos 1.0
32350,2.0
