id,page_break,position
182357,f,
213888,f,
124418,f,
315425,f,
143281,f,
313748,f,
201319,f,
174155,f,
174311,f,
313769,f,
151520,f,33
145047,f,
211010,f,
315418,f,
327893,f,
314018,f,130
185408,f,
181435,f,
341032,f,
182477,f,
219706,f,
154658,f,
169758,f,
182385,f,
191484,f,
330510,f,
330513,f,
54963,f,
147433,f,
289934,f,
230702,f,
153718,f,
134776,f,
213207,f,
215713,f,
313805,f,140
81621,f,
239291,f,
235254,f,
238104,f,
95505,f,
236121,f,
131850,f,
331851,f,
331852,f,
331853,f,
331855,f,
323634,f,
130818,f,
237005,f,
97499,f,
236539,f,
233863,f,
233666,f,
199271,f,
199625,f,
323657,f,
232940,f,
232576,f,
331856,f,
331857,f,
346916,f,
238105,f,
314261,f,140
192651,f,
335725,f,
238106,f,
322001,f,
227877,f,
232420,f,
312741,t,100.7
312742,f,100.8
312744,f,100.10
315544,f,
312750,f,110.6
312751,f,110.7
312752,f,110.8
312754,f,110.10
231702,f,
336411,f,132
336412,f,133
337134,f,6.0
336413,f,134
336414,f,135
222273,f,
318780,f,
227926,f,
44260,f,
45841,f,
46585,t,
47365,f,
47448,f,
48291,f,
49061,f,
229660,f,
229274,f,1.0
49657,f,
58071,f,
57022,f,
62200,f,
62596,f,
64319,f,
68961,f,
77969,f,
81674,f,
82109,f,
84548,f,
99684,f,
104751,f,
179928,f,
283311,f,
220159,f,
260356,f,
254902,f,
324809,f,
316378,f,
266333,f,
336329,f,
316383,f,
50932,f,
312740,f,100.6
53371,f,
45254,f,
55532,f,
92069,f,
46557,f,
77371,f,
49362,f,
79336,f,
111493,f,
120675,f,
151314,f,
161667,f,
134125,f,
331035,f,190
170834,f,
229134,f,
332170,f,
126668,f,
165991,f,
139364,f,
169010,f,
158513,f,
192880,f,
178543,f,
195142,f,
60920,f,
60921,f,
60673,f,
228145,f,
60002,f,
60003,f,
47195,f,
44843,f,
60018,f,
60019,f,
60020,f,
60021,f,
60022,f,
60024,f,
60026,f,
60027,f,
50011,f,2
70003,f,
70004,f,
57686,f,
70005,f,
70006,f,
70007,f,
30006,f,
340872,f,
70013,f,
70014,f,
51090,f,
50033,f,
318832,f,
60030,f,5
60034,f,7
60035,f,8
260278,f,
60045,f,
60047,f,
80336,f,
60048,f,
60049,f,
60050,f,
325263,f,
60051,f,
340585,f,
60053,f,3
60054,f,2
40068,,2
325266,f,
50041,f,
70047,f,
70048,f,
70049,f,
70050,f,
70051,f,
70052,f,
70053,f,
137730,f,
70054,f,
50059,f,5
60064,f,
60067,f,
60068,f,
60069,f,
340586,f,
60071,f,
60072,f,
340587,f,
70064,f,
70065,f,
70066,f,
70067,f,
70068,f,
70069,f,
70070,f,
70071,f,
70075,f,
70076,f,
70177,f,
70178,f,
70179,f,
70180,f,
70181,f,
70182,f,
70183,f,
70202,f,
70205,f,
50081,f,
50082,f,6
50087,f,
50089,f,
50091,f,20.0
50092,f,
50105,t,
70206,f,
82121,f,
70252,f,
60115,f,
60120,f,
284873,f,
60125,f,
50125,t,
50127,f,
318834,f,
60133,f,
60135,f,
60136,f,
60141,f,
60142,f,
60148,f,
318782,f,
60149,f,
326711,f,
60190,f,
50131,f,
50132,f,
50133,f,
50134,f,
50135,f,
50136,f,
50137,f,
50138,f,
70312,f,
70313,f,
70314,f,
70324,f,
60150,f,
60151,f,
60152,f,
60177,f,
60178,f,
60179,f,
60188,f,
60933,f,
60191,f,
326712,f,
70330,f,
326713,f,
50155,f,
70345,f,
70340,f,
70341,f,
70343,f,
70344,f,
60192,f,
60196,f,
60202,f,
47772,f,
60203,f,
60205,f,
60206,f,
60207,f,
60208,f,
60209,f,
60210,f,
60211,f,
60212,f,
60213,f,
338370,f,
338371,f,
70355,f,
330466,f,
70354,f,
50173,f,
50175,f,
50176,f,
50177,f,
50178,f,
326716,f,
326717,f,
50190,f,3
50191,f,4
70450,f,
330500,f,
70361,f,
70362,f,
70363,f,
70364,f,
70365,f,
70374,f,
70392,f,
70393,f,
70394,f,
70396,f,
70397,f,
70398,f,
70399,f,
70448,f,
50205,f,
47773,f,
60257,f,
70467,f,
340142,f,2
50230,f,5.0
50231,f,
50238,f,
47196,f,
70475,f,
70476,f,
70485,f,
70486,f,
70487,f,
70491,f,
70492,f,
330502,t,
46151,f,
60261,f,
60270,f,
60276,f,
60279,f,
60280,f,
60281,f,
60285,f,
60286,f,
340147,f,3
340148,f,4
340049,f,1
60457,f,
40636,,1
318476,f,
318478,f,30
40703,,5
40704,,6
60310,f,
70508,f,
70514,f,
334188,f,
50250,f,
334189,f,
334190,f,
50254,f,
50255,f,
50256,f,
50257,f,
50258,f,
50259,f,1
70535,f,
70536,f,
334191,f,
70538,f,
50279,f,2
50280,f,3
50281,f,
50282,f,
50284,f,
50288,f,
50289,f,
50290,f,
50291,f,
50292,f,
50293,f,
50294,f,
334192,f,
94005,f,
70543,f,
70544,f,
70546,f,
70549,f,
70551,f,
70552,f,
70553,f,
70554,f,
71311,f,
50317,f,Pos. 8
50318,f,
50322,f,1.1
50323,f,1.6
50324,f,2.2
50325,f,103
70558,f,
70562,f,
314000,f,2.7
314005,f,10.6
314013,f,10.7
50354,f,
315545,f,
40811,,3
40812,,4
50326,f,
50329,f,
50331,f,
50332,f,
50333,f,
50334,f,
50345,f,
50346,f,200
50350,f,
50351,f,
47774,f,
50355,f,
50359,f,
60364,f,
60365,f,
60366,f,
60371,f,
60407,f,
60412,f,
60414,f,
60415,f,
60416,f,
60417,f,
60418,f,
60419,f,
60420,f,
318481,f,40
348479,f,
318483,f,50
336163,f,
60425,f,
60427,f,
60428,f,
60431,f,
60432,f,
60434,f,
60435,f,
60436,f,
60437,f,
60438,f,
60439,f,
60440,f,
60441,f,
60442,f,
60445,f,
60448,f,
47775,f,
60449,f,
70587,f,
70589,f,
70590,f,
70591,f,
30772,,1.5
30773,,210.0
30774,,240.0
50366,f,
50369,f,
310319,f,
50371,f,
50372,f,
50373,f,
50375,f,
50376,f,
50378,f,
50380,f,
50381,f,
50382,f,
50383,f,
50384,f,
50386,f,
51092,f,
70608,f,6
70609,f,10
70610,f,11
60450,f,
329368,f,1.0
60452,f,
50392,f,
50393,f,
50394,f,
50399,f,
50400,f,2
334193,f,
60453,f,
60454,f,
60455,f,
60456,f,
60458,f,
60459,f,
60460,f,
60461,f,
60462,f,
60463,f,
60465,f,
60466,f,
60467,f,
60468,f,
60472,f,
60473,f,
60474,f,
60475,f,
60476,f,
60477,f,
60478,f,
260279,f,
60482,f,
60483,f,
60484,f,
60485,f,
50416,f,
50417,f,
50418,f,
50419,f,
50420,f,
50421,f,
50422,f,
334194,f,
50424,f,
50426,f,
316266,f,
70668,f,
70669,f,
70672,f,
70679,f,
70689,f,
70693,f,
316265,f,
316349,f,
50451,f,2
50457,f,
51084,f,
60491,f,
60492,f,
60493,f,
60494,f,
60495,f,
60496,f,
60497,f,
60498,f,
60499,f,
60500,f,
60505,f,
70705,f,3.1
51085,f,
70710,f,100.0
70712,f,102.0
70713,f,110.0
70714,f,200
70715,f,210.0
70716,f,
43335,,4.0
70717,f,
70718,f,
340286,f,
30888,,2.0
30889,,3.0
70764,f,
70765,f,
70766,f,
70767,f,
70768,f,
70769,f,
70770,f,
70771,f,
70772,f,
70773,f,
70774,f,
70776,f,
70777,f,
30890,,4.0
30891,,10.0
30919,,11.0
30920,,12.0
70849,f,
50458,f,
50459,f,
50460,f,
50462,f,
50469,t,
50471,f,
342866,f,
50473,f,
50474,f,
50475,f,
50476,f,
70779,f,
70780,f,
70783,f,
70784,f,
70785,f,1
339502,f,
70799,f,2
260280,f,
60554,f,
60557,f,
60560,f,
60563,f,
60564,f,
60565,f,
60567,f,
60568,f,
60569,f,
60570,f,
260282,f,
60574,f,
60578,f,
70848,f,
70844,f,
70845,f,
70846,f,
70847,f,
70855,f,
70856,f,
70859,f,
70862,f,4
70863,f,5
70867,f,
70869,f,
70870,f,
70871,f,
70872,f,
70873,f,
60579,f,
60580,f,
60581,f,
60582,f,
60583,f,
60585,f,
60587,f,
60588,f,
60589,f,
60590,f,
60591,f,
60592,f,
60593,f,
30955,,1
30961,,2
30972,,21
339503,f,
339501,f,
60599,f,
30982,,89
60600,f,
60601,f,
60603,f,
60607,f,
30973,,22
30976,,11
30977,,12
30979,,86
30980,,87
30981,,88
50493,f,
50496,f,
50499,f,
50500,f,
50501,f,
50503,f,
50507,f,
312044,f,
260283,f,
50517,f,
50518,f,
260284,f,
260285,f,
31037,,120.0
31038,,130.0
70906,f,
70907,f,
70908,f,
70909,f,
70910,f,
70911,f,
70913,f,
70917,f,
70918,f,
70921,f,
41272,,1.6
60608,f,
60609,f,
60610,f,
60611,f,
60612,f,
60613,f,
60614,f,
60615,f,
60616,f,
60617,f,
60620,f,
60621,f,
60622,f,
60623,f,1
60628,f,
60629,f,
60632,f,
60633,f,
60634,f,
60636,f,
60638,f,
60639,f,
60640,f,
60641,f,
50519,f,
60642,f,
50520,f,
50521,f,
60643,f,
60644,f,
50522,f,
50523,f,
70882,f,
70883,f,
70884,f,
70886,f,
334196,f,
334197,f,
31041,,103.0
260286,f,
31044,,2
260287,f,
338551,f,
31056,,102.0
31057,,104.0
60656,f,
60658,f,
50524,f,
41275,,1.7
60675,f,
60677,f,
60680,f,
60682,f,
60683,f,
60688,f,
60698,f,
31068,,105.0
340149,f,5
50549,f,
70952,f,
70954,f,
31133,,102.0
60715,f,
60716,f,
60717,f,
31710,,40
51093,f,
336664,f,
334198,f,
31183,,2
50574,f,
50581,f,
50588,f,
50590,f,
50591,f,
50592,f,
50594,f,
334199,f,
50596,f,
50597,f,
50598,f,
50599,f,
50618,f,
62993,f,
