id,xx_nbre_tablettes
342867,Copy 342867
342211,Copy 342211
339375,Copy 339375
337394,Copy 337394
342209,Copy 342209
340077,Copy 340077
337390,Copy 337390
340066,Copy 340066
338929,Copy 338929
339071,Copy 339071
339015,Copy 338241
338913,Copy 338913
339014,Copy 338240
339013,Copy 338209
346239,Copy 346239
343733,Copy 343733
338941,Copy 338941
339012,Copy 338115
343731,Copy 343731
338444,Copy 338444
345764,Copy 345764
343735,Copy 343735
345744,Copy 345744
336950,Copy 336950
341608,Copy 341608
345544,Copy 345544
337683,Copy 337683
342619,Copy 342619
342625,Copy 342625
336929,Copy 336929
337682,Copy 337682
343881,Copy 343881
343882,Copy 343882
342574,Copy 342574
336948,Copy 336948
336931,Copy 336929
338847,Copy 338847
339947,Copy 339947
338849,Copy 338849
340099,Copy 340099
339373,Copy 339373
341056,Copy 341056
339371,Copy 339371
338915,Copy 338915
345545,Copy 345545
346685,Copy 346685
341017,Copy 341017
341269,Copy 341269
341268,Copy 341268
342105,Copy 342105
344717,Copy 344717
344260,Copy 344260
339378,Copy 339378
343884,Copy 343884
337934,Copy 337934
342572,Copy 342572
337458,Copy 337458
337205,Copy 337205
337838,Copy 337838
338914,Copy 338914
336949,Copy 336949
347453,Copy 347453
342897,Copy 342897
338969,Copy 338969
344076,Copy 344076
338091,Copy 338091
339647,Copy 339647
337943,Copy 337943
337944,Copy 337944
344082,Copy 344082
342903,Copy 342903
342925,Copy 342925
345417,Copy 345417
339202,Copy 339202
347120,Copy 347120
339199,Copy 339199
339215,Copy 339215
339205,Copy 339205
339209,Copy 339209
339212,Copy 339212
347125,Copy 347125
337775,Copy 337775
337741,Copy 337741
337742,Copy 337742
336852,Copy 336852
338474,Copy 338474
342151,Copy 342151
341635,Copy 341635
342169,Copy 342169
342926,Copy 342926
336860,Copy 336860
337000,Copy 337000
347134,Copy 347134
336991,Copy 336991
336858,Copy 336858
336859,Copy 336859
341368,Copy 341368
341125,Copy 341125
338508,Copy 338508
343749,Copy 343749
342927,Copy 342927
338605,Copy 338605
337810,Copy 337810
342400,Copy 342400
344141,Copy 344141
340054,Copy 340054
344142,Copy 344142
